|Medium-sized fish that hides in the shadows of\nrocks and is very alert. To stabilize in rising\nwater it swallows rocks and sometimes sepith.|　隐藏在岩石附近，警戒心强的中型鱼。\n在水涨时会吞入石头以保持身体稳定，因\n而得名。同样，在其体内可以发现琥耀石\n也是因为这个原因。
|Common river fish with black spotting. Prefers\nclear streams. Often used as bait to catch\nlarger freshwater fish.|　身体侧面长有黑色椭圆花纹，是一种最\n为普通的河鱼，喜欢清澈的水域。在钓大\n型浅水鱼的时候，这种鱼常常会被用作诱\n饵。
|Part of the Rockeater and Yamany family. The\nsepith it eats causes its brilliant coloring.\nCatch one big enough and it might make you rich.|　拥有七色鳞片的鱼。虽然与岩穴鱼和清\n溪鱼是同类，但由于体内贮存着大量耀晶\n片，因此鱼身散发着七彩光泽。如果能钓\n到大鱼，一夜暴富也不是梦想。
|An offshoot of the Rockeater. Its orange\ncoloring is due to the red sepith it eats.\nA rare fish that commands a high price.|　岩穴鱼的亚种，由于喜欢吞食红耀石，\n因此身体呈橙红色。这种鱼在利贝尔境内\n十分珍稀，在钓鱼爱好者之间一直以高价\n进行着交易。
|A quiet, enormous fish with a silver sheen. Its\nfavorite food is water plants. Some have been\nknown to grow up to 2 arge in size.|　闪耀着白银光泽的大型鱼，性格温和，\n爱吃水草。其体型在淡水鱼中堪称最大，\n曾有人见到过罕有的身长超过２亚矩的个\n体。
|A small fish found throughout Liberl.\nAdaptable and resilient. Valued among fishers as\nbait for both fresh and saltwater fishing.|　在利贝尔各地都能见到的小鱼，对水质\n与环境的变化适应能力很强，各地繁殖均\n获得成功。由于它作为饵食在淡水与海水\n中均可使用，因此在钓鱼者中很受重视。
|Found in Valleria Lake and connected water. An\noffshoot of the Salmon with steel-blue scales.\nMales store black septium, females silver.|　鲑鱼的陆封亚种，以紧绷的钢铁色的身\n体为特征，广泛栖息于瓦雷利亚湖及其周\n围的水域中。雄鱼体内存有黑耀石，而雌\n鱼体内则存有银耀石。
|A fish eater that dwells in lakes and marshes.\nIndiscriminate eaters that often swallow\nsurprising things. Sells for almost nothing.|　栖息于湖沼之中的食肉鱼类。由于经常\n将小鱼吃光，所以深受渔夫们厌恶。虽然\n价格很便宜，但由于其天生暴食的习性，\n经常可以在其体内发现意外的东西。
|A large, ferocious fish that prefers stagnant\nwater. Can actually breathe air for short\nperiods, so is sometimes found on shore.|　喜欢混浊水域的凶猛的大型鱼。由于在\n空气中也能够进行短时间的呼吸，因此有\n时也会爬上岸边游走。因为此时其姿态与\n蛇相似，故而得名。
|Large fish that prefers landlocked, stagnant\nwater with a muddy base. Rumored to eat people\nbecause of its eclectic stomach contents...|　栖息于泥底静水中的大型鱼。以１亚矩\n大小的鱼类为主食，所以有『湖底暴徒』\n这一外号。由于可以从体内发现装饰品，\n因此也有传言声称这种鱼也会吃人。
|Fish that requires skill to catch, from matching\nbait to knowing depths and spots. Known as the\nMedicine Fish because it swallows balms and such.|　想要钓到这种鱼对饵料、调标、提竿等\n诸多技术均有要求，因此有很多人想要挑\n战它。由于它经常将药饵囫囵吞下，因此\n又有了『药鱼』的别称。
|A creepy-looking fish valued in the East for\nits invigorating properties. Can be found\nfrom Valleria Lake to the Roubine River.|　虽然外表十分可怕，但这种鱼实用价值\n甚高，在东方还被视为精灵而饱受欢迎。\n属于罕有的降河洄游鱼，在瓦雷利亚湖与\n卢比诺川河口间繁殖后代。
|A freshwater fish known for its beard. Its\nunderdeveloped stomach keeps it from storing\nnutrients, causing it to eat constantly.|　以长有胡须为特征的淡水鱼。由于胃部\n不发达，无法储存食物，因此这种鱼必须\n要经常进食。它整天都在吞吐泥沙也正是\n由于这个原因。
|The symbol of upstream migratory fish. Born in\nValleria Lake, they migrate to the sea and\nreturn to the Roubine River to lay their eggs.|　代表性的溯河洄游鱼种。在瓦雷利亚湖\n生长发育之后，会游向外海继续成长，到\n产卵期时还会成群结队地溯河而上游回故\n乡卢比诺川水域。
|An enormous crab with a claw-span of 2 arge.\nResides in fresh, salt, and stagnant water.\nAvoids bright areas, and thus is rarely spotted.|　伸开双爪长度超过２亚矩的巨大螃蟹，\n虽然在淡水区域、海水区域以及河口处的\n低盐度区域中均能生存，但由于它们生性\n厌恶光线，所以平时很难被人发现。
|Small fish that dwells in Azelia Bay. Uses\nbright stripes to disguise itself. Gets its\ncoloring from the gold septium it eats.|　栖息在亚瑟利亚湾的小鱼，为了藏身于\n海草之中，身上长有漂亮的条纹。作为观\n赏鱼种深受欢迎，其全身闪闪发光的原因\n在于其喜欢吞食金耀石的习性。
|A mollusk that dwells in Azelia Bay. Due to its\nappearance, its market price is almost nil,\nbut oddity enthusiasts will pay a high price for it.|　一种栖息于亚瑟利亚湾部分水域的软体\n动物，具有很高的智力。虽然其外表导致\n其市场价值几乎为零，但如果卖给爱好奇\n特的人，倒可以卖个好价钱。
|A monstrous fish of over 1.5 arge. Quick to\nanger, but the sight of its enormous blue body\nstaining gold with fury is worth the sight.|　这种鱼拥有超过１５０里矩的庞大身躯\n与魔兽一般的外貌。上钩时会拼命挣扎，\n蓝色的身体也会逐渐变为兴奋的金黄色，\n这一过程绝对值得一看。
|Mid-sized fish that dwells in salt and\nbrackish water regions. Valued as bait for\nfishing up big catches out of the sea.|　栖息于海水与低盐度水域的中型鱼。名\n字会随着成长发生变化，在３０里矩以下\n名为小狮鱼，６０里矩以上的则被称为狮\n鱼。作为优良鱼饵十分珍贵。
|Nicknamed the Blue Noble. Has sea-colored\nscales that glitter brighter than any gem.\nAll fishers aspire to catch one of these.|　有着『蓝色贵族』之称，是所有钓鱼爱\n好者都梦想着能够钓到的鱼。与大海相同\n颜色的身体比宝石还要美丽，在海中疾驰\n的身姿则象征着自由的灵魂。
|A fish that nests at the base of rocks. Not seen\nin markets, but fun to fish up. Used as bait to\ncatch large fish at the edge of the sea.|　这种鱼栖息于岩石底部等复杂地形的缝\n隙之间。虽然不在市场上交易，但是钓取\n的过程却十分有趣。另外它还可用作钓取\n深海大型鱼的诱饵。
|A fish with deep olive green coloring.\nConsidered the standard for surf fishing. Called\n'Greener' because of the green sepith it carries.|　深受垂钓者喜爱的鱼类，特征是深橄榄\n色的鱼身。由于经常能够从其体内发现翠\n耀石的碎片，因此在某些地区这种鱼也会\n被称作『翠鱼』。
|A crustacean that dwells in the shade of rocks.\nBetter used as bait than selling at a low price.\nSometimes its shell and eggs are traded.|　栖息于水边岩石底部的甲壳类生物。由\n于以其作为饵食可以钓到大鱼，因此将其\n廉价售出的行为值得商榷。另外雄性的甲\n壳与雌性的卵也都能够在市场上交易。
|A fish with beautiful black scales because\nof the black septium it eats. Is hermaphroditic\nand changes sex as it matures.|　拥有漆黑色美丽鳞片的鱼。在其经受过\n无数惊涛骇浪的身体中经常可以发现黑耀\n石。虽然刚出生时是雌雄同体，但之后这\n种鱼会在进行性别转换的同时逐渐成熟。
|An enormous fish that lurks at the bottom of\nAzelia Bay. Lives at depths of over 500 arge,\nbut sometimes ascends to more shallow regions.|　潜藏于亚瑟利亚湾水底的巨大鱼类。虽\n然这种鱼平时只栖息于５００亚矩以下的\n深海中，但偶尔也能够在浅层海域中发现\n它。
|The King of Valleria Lake. Believed to be an\noffshoot of the trout. Devours fish of its own\nspecies, growing bigger all the while.|　将广阔水域视为己物的『瓦雷利亚湖的\n湖之主』。虽然被认为是黑鲑的变种，但\n本来面目至今仍未有定论。平时这种鱼喜\n欢捕食中体型的同类，现在仍在成长中。\n
7606|#1000F#1PNow, which rod should I use?\0x02\0x03|#1000F#1P那～么，\0x01用哪支鱼竿呢？\0x02\0x03|#77442v#1000F#1PNow, which rod should I use?\0x02\0x03
7648|#1015F#1PWhat about bait?\0x02\0x03|#1015F#1P鱼饵用哪种好呢？\0x02\0x03|#77443v#1015F#1PWhat about bait?\0x02\0x03
7678|#1018F#1P#20AThere!\0x02|#1018F#1P#20A嘿！\0x02|#77444v#1018F#1P#20AThere!\0x02
7701|#1018F#1P#20AHere goes!\0x02|#1018F#1P#20A去吧～！\0x02|#77445v#1018F#1P#20AHere goes!\0x02
7728|#1009F#1P#20ACast off!\0x02|#1009F#1P#20A嗨呀～！\0x02|#77446v#1009F#1P#20ACast off!\0x02
7754|#1001F#1PNot bad!\0x02|#1001F#1P好，很不错！\0x02|#77447v#1001F#1PNot bad!\0x02
7775|#1001F#1PEasy peasy!\0x02|#1001F#1P小菜一碟小菜一碟！\0x02|#77448v#1001F#1PEasy peasy!\0x02
7799|#1001F#1PWow! This one's a big 'un!\0x02\0x03|#1001F#1P呀嗬！！\0x01这条相当大啊！\0x02\0x03|#77457v#1001F#1PWow! This one's a big 'un!\0x02\0x03
7839|#1005F#1PWh-Whaaat?!\0x02\0x03|#1005F#1P什、什么～！\0x02\0x03|#77458v#1005F#1PWh-Whaaat?!\0x02\0x03
7864|#1007F#1POops... Maybe my nerves are getting the\0x01better of me.\0x02\0x03|#1007F#1P哎呀～，太着急了吗？\0x02\0x03|#77459v#1007F#1POops... Maybe my nerves are getting the\0x01better of me.\0x02\0x03
7931|#1009F#1PMan... So close, too!\0x02\0x03|#1009F#1P唔～，不甘心啊！\0x02\0x03|#77460v#1009F#1PMan... So close, too!\0x02\0x03
7966|#1006F#1PI wonder how my opponent's doing? ♪\0x02\0x03|#1006F#1P那～么，那边\0x01怎么样了呢～⊙\0x02\0x03|#77461v#1006F#1PI wonder how my opponent's doing? ♪\0x02\0x03
8016|#1015F#1PHmm... I wonder how my opponent's doing?\0x02\0x03|#1015F#1P那、那个～……\0x01那边如何了呢？\0x02\0x03|#77462v#1015F#1PHmm... I wonder how my opponent's doing?\0x02\0x03
8070|#1009F#1PDon't get cocky! I'm just getting started!\0x02\0x03|#1009F#1P唔唔～！\0x01我可不能输！！\0x02\0x03|#77463v#1009F#1PDon't get cocky! I'm just getting started!\0x02\0x03
8126|#1018F#1PAll right! I've got to make the most of this\0x01opportunity!\0x02\0x03|#1018F#1P好～呀，就趁现在\0x01一个劲儿地钓吧！\0x02\0x03|#77464v#1018F#1PAll right! I've got to make the most of this\0x01opportunity!\0x02\0x03
8197| \0x02|　\0x02| \0x02
8197| \0x02|　\0x02| \0x02
8197| \0x02|　\0x02| \0x02
8197| \0x02|　\0x02| \0x02
8197| \0x02|　\0x02| \0x02
8202|#4PHmph... Not bad. But I can do better!\0x02\0x03|#4P唔唔……不错嘛。\0x01我也不能输。\0x02\0x03|#99052v#4PHmph... Not bad. But I can do better!\0x02\0x03
8247|#4PI've gotta take this baby slow an' steady.\0x02\0x03|#4P嗯。\0x01我也不能着急呢。\0x02\0x03|#99053v#4PI've gotta take this baby slow an' steady.\0x02\0x03
8297|#4P#20AHmph!\0x02|#4P#20A哼！\0x02|#99054v#4P#20AHmph!\0x02
8313|#4P#20AHah!\0x02|#4P#20A唔！\0x02|#99055v#4P#20AHah!\0x02
8328|#4P#20AHa!\0x02|#4P#20A嘿！\0x02|#99056v#4P#20AHa!\0x02
8342|#4PA good catch!\0x02|#4P好！　漂亮。\0x02|#99057v#4PA good catch!\0x02
8362|#4PThis one ain't bad!\0x02|#4P嗯，很不错嘛！\0x02|#99058v#4PThis one ain't bad!\0x02
8388|#4PSee? I gave it my all, and now I got\0x01it all!\0x02\0x03|#4P啊哈哈！！\0x01我真是才能出众呀！\0x02\0x03|#99059v#4PSee? I gave it my all, and now I got\0x01it all!\0x02\0x03
8440|#4PN-No way...\0x02|#4P怎、怎么会这样……！\0x02|#99060v#4PN-No way...\0x02
8458|#4PThis can't be happening...\0x02|#4P简直是恶梦……\0x02|#99061v#4PThis can't be happening...\0x02
8491|#4P...What?\0x02|#4P……咦？\0x02|#99062v#4P...What?\0x02
8506| \0x02|　\0x02| \0x02
8506| \0x02|　\0x02| \0x02
8506| \0x02|　\0x02| \0x02
8506| \0x02|　\0x02| \0x02
8506| \0x02|　\0x02| \0x02
8506| \0x02|　\0x02| \0x02
8506| \0x02|　\0x02| \0x02
8506| \0x02|　\0x02| \0x02
8506| \0x02|　\0x02| \0x02
8511|#1POh, my! How impressive. I see I can't afford to\0x01let my guard down against you.\0x02\0x03|#1P哎呀，挺能干嘛。\0x01我也不能输啊。\0x02\0x03|#0743v#1POh, my! How impressive. I see I can't afford to\0x01let my guard down against you.\0x02\0x03
8597|#1PHeehee. Slow and steady wins the race.\0x02\0x03|#1P呵呵。\0x01我也要小心些才行。\0x02\0x03|#0744v#1PHeehee. Slow and steady wins the race.\0x02\0x03
8643|#1P#20ACast off!\0x02|#1P#20A嗨呀！\0x02|#0745v#1P#20ACast off!\0x02
8663|#1P#20ACome to me!\0x02|#1P#20A瞧着！\0x02|#0746v#1P#20ACome to me!\0x02
8685|#1P#20AThere!\0x02|#1P#20A噢啦！\0x02|#0747v#1P#20AThere!\0x02
8702|#1PHeehee. Catching fish this size is nothing!\0x02\0x03|#1P呵呵呵，这只不过\0x01是准备活动啊。\0x02\0x03|#0748v#1PHeehee. Catching fish this size is nothing!\0x02\0x03
8753|#1POhohoho! Take a good look at this!\0x02|#1P嚯嚯嚯，看到了么？\0x02|#0749v#1POhohoho! Take a good look at this!\0x02
8794|#1POhohoho! Now do you see what I can really do?\0x02\0x03|#1P哦—嚯嚯嚯嚯嚯嚯嚯！！\0x01这才是我真正的实力！\0x02\0x03|#0750v#1POhohoho! Now do you see what I can really do?\0x02\0x03
8847|#1PTh-This can't be happening!\0x02|#1P这、这太过分了！\0x02|#0751v#1PTh-This can't be happening!\0x02
8881|#1PGracious no!\0x02|#1P哦—不—！！！\0x02|#0752v#1PGracious no!\0x02
8900|#1PI-Impossible...\0x02|#1P这、这不可能……\0x02|#0753v#1PI-Impossible...\0x02
8922| \0x02|　\0x02| \0x02
8922| \0x02|　\0x02| \0x02
8922| \0x02|　\0x02| \0x02
8922| \0x02|　\0x02| \0x02
8922| \0x02|　\0x02| \0x02
8922| \0x02|　\0x02| \0x02
8922| \0x02|　\0x02| \0x02
8922| \0x02|　\0x02| \0x02
8922| \0x02|　\0x02| \0x02
8927|#4PHmm... I see my foe is quite capable.\0x02\0x03|#4P唔，对方也\0x01相当能干呀。\0x02\0x03|#99339v#4PHmm... I see my foe is quite capable.\0x02\0x03
8972|#4PHahaha! Now's my chance!\0x02\0x03|#4P哈哈哈。\0x01现在就是机会！\0x02\0x03|#99340v#4PHahaha! Now's my chance!\0x02\0x03
9004|#4P#20AHah!\0x02|#4P#20A呀！\0x02|#99341v#4P#20AHah!\0x02
9019|#4P#20AHmph!\0x02|#4P#20A嗯！\0x02|#99342v#4P#20AHmph!\0x02
9035|#4P#20AHaaah!\0x02|#4P#20A哦哦～！\0x02|#99343v#4P#20AHaaah!\0x02
9052|#4PHahaha! I can't help but laugh!\0x02\0x03|#4P噗噗噗～～！\0x01真是让人忍俊不禁。\0x02\0x03|#99344v#4PHahaha! I can't help but laugh!\0x02\0x03
