1302|1000|Practice Weapon|练习用武器|Lacking in the power department, but better than nothing.|不能期待它有多高的攻击力，不过总比没有的好。
1384|1001|Linear Grip|直柄棍|[STR+500/RNG+2]\nA simple staff for returning to basics.|【STR+500 RNG+2】\n　再现格斗的初衷、极为简单的棍棒。
1461|1002|Nohval Staff|黑耀棍|[STR+600/RNG+2]\nJet-black staff that sucks in light. Processed with nohval.|【STR+600 RNG+2】\n　用黑耀石加工而成，能够吸收光线的漆黑棍棒。
1559|1003|NON_ITEM|NON_ITEM|[STR+700/RNG+3]\nUnused.|【STR+700 RNG+3】\n　未使用。
1601|1004|Calamites Rod|灾难棍|[STR+800/RNG+2]\nA staff cut from a fossilized ancient tree.|【STR+800 RNG+2】\n　利用化石古木加工制成的棍棒。
1684|1005|Corkswain|焦烈情侣|[STR+900/RNG+2]\nA flexible staff made from seven sticks bound together.|【STR+900 RNG+2】\n　用七条棒子捆扎起来的灵活柔软的棍棒。
1775|1006|Force Flag|力旗棒|[STR+1000/RNG+3/DEX+10/AGL+10/SPD+5]\nA staff with a flag symbolic of power on it. Has wide reach.|【STR+1000 RNG+3】\n　棒尖飘扬着作为力量象征的旗子，攻击范围较远。
1893|1007|Hercule|海格力斯|[STR+1100/RNG+2]\nA highly resistant staff made in ancient times.|【STR+1100 RNG+2】\n　由古代留传至今的耐久性优越的棍棒。
1975|1008|Amanomadra|天沼棒|[STR+1200/RNG+3/DEX+10/AGL+10]\nA mystical staff that shakes the very existence of targets.|【STR+1200 RNG+3】\n　对目标对象实施重击，能够扰乱现实的幻想之棍。
2086|1009|        |        |[STR+1300/RNG+3]\nNO_ITEM|【STR+1300 RNG+3】\n　NO_ITEM
2129|1010|Umegae|梅枝|[STR+950/RNG+3/DEX+5/AGL+15/SPD+5]\nOnce a traveler's. Red petals dance in its wake.|【STR+950 RNG+3】\n　旅行者遗失的物品，挥动的树枝轨迹上有红色花瓣飘舞。
2229|1011|Umegae+1|梅枝+1|[STR+1300/RNG+3/DEX+15/AGL+25/SPD+5]\nOnce a traveler's. Red petals dance in its wake.|【STR+1150 RNG+3】\n　旅行者遗失的物品，挥动的树枝轨迹上有红色花瓣飘舞。
2333|1012|Sphere Soleil|星球之光|[STR+1500/RNG+3/DEX+25/AGL+25/SPD+5]\nA staff that radiates a warm glow. Made from strange ore.|【STR+1500 RNG+3】\n　以谜之矿石精制而成，棍体散发着温暖的光芒。
2451|1013|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
2494|1014|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
2537|1015|--|--| | 
2550|1016|--|--| | 
2563|1017|--|--| | 
2576|1018|--|--| | 
2589|1019|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
2632|1020|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
2675|1021|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
2718|1022|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
2761|1023|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
2804|1024|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
2847|1025|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
2890|1026|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
2933|1027|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
2976|1028|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3019|1029|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3062|1030|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3105|1031|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3148|1032|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3191|1033|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3234|1034|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3277|1035|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3320|1036|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3363|1037|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3406|1038|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3449|1039|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3492|1040|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
